Aspect,Polarity,Summary,Review
Output: Amenities and Location,Positive,A quick bite to eat and charge in the same amount of time,A quick bite to eat and charge in the same amount of time. Can't beat it.
Output: Accessibility and Convenience,Positive,quick charging while we went and picked some groceries from Meijer,A quick charging while we went and picked some groceries from Meijer
Output: Charging speed and efficiency,Positive,real fast charger with 120kw,A real fast charger with 120kw and plenty to do around here. Restaurants and mejier
Output: Charging speed and efficiency,Positive,250 Kw charge the car in 20 minutes at a rate of thousand miles per hour,A real supercharger at 250 Kw charge the car in 20 minutes at a rate of thousand miles per hour! Clean area and the owner of the space - sheetz maintains the place clean and safe.
Output: Amenities and Location,Positive,A good spot to get a bite to eat. In a busy shopping center parking lot. Great selection and wide variety of shops and restaurants within walking distance.,"A really super supercharging station. 12, 250kW and 12, 150kW Superchargers. A good spot to get a bite to eat. In a busy shopping center parking lot. Great selection and wide variety of shops and restaurants within walking distance."
Output 13: Accessibility and Amenities and Location,Positive,"12x fast (250kW) chargers, big strip-mall shopping center, lots of options to eat at, GameStop and Dollar Tree, Walmart Supercenter, a lot of places to charge very quickly, a lot to do while you're here.","A shiny new Supercharger with 12x fast (250kW) chargers. Instead of one or two row of chargers, Walterboro has 4 rows of parking slots (2x rows of back to back parking spots) which means if you're hauling a trailer you can pull across one row to park and still keep most of the charging spots open! (Yes it does have a ""pull in"" spot, but when the parking spot is still normal length it leaves your trailer blocking the parking row).
 
 It's right off 95, in a big strip-mall shopping center so you have lots of options to eat at, like KFC, or Poppa John's or IHOP. You've got GameStop and Dollar Tree if you need to pick up something to keep your passengers occupied, and there's a Walmart Supercenter at the end of the road in case you need anything else. All in all, this stop offers a lot of places to charge very quickly, and a lot to do while you're here. If there's a downside, is that if you arrive late late at night, past normal store hours (the Walmart closes at 11pm) most of your places to go to the bathroom shut down too. Best bet is to try asking at the Super 8 that's there."
Output: Accessibility and Location,Neutral,Another location that you have to circle back to get to if approaching from the TCH because it's on your left and partially hidden by the Canadian Brewhouse and Starbucks. (Look for the big Civic Centre Plaza sign.),"A short hop south of Rte.#1 off Main St. N. Another location that you have to circle back to get to if approaching from the TCH because it's on your left and partially hidden by the Canadian Brewhouse and Starbucks.
 (Look for the big Civic Centre Plaza sign.) The first charger I used (1B) seemed a little slow but they work..."
Output: Amenities and Location,Positive,"Chipotle, Deet's BBQ, Steak Escape, Tropical Smoothie Cafe, Sakura Express, Taco Bell, Meijers","A strategically placed station close to the highway that we use all the time when driving across I80/90. Usually busy but we‚Äôve never waited to use a stall. Food options include Chipotle, Deet‚Äôs BBQ, Steak Escape, Tropical Smoothie Cafe, & Sakura Express (don‚Äôt go there!). Taco Bell, Meijers, and others are a short walk."
Output: reliability and maintenance,Positive,fixed in a timely manner,"A super duper charger near some decent fast food so you can charge, eat and go. Also in the parking lot of the grocery store, perfect for any quick meal prep grabs.
 
 The few times the charger has been out of service it was fixed in a timely manner (hours not days)."
Output: charging speed and efficiency,Negative,getting 69kW instead of the 150kW this charger is capable of,"A supercharger should be evaluated for the speed it provides in comparison to what it‚Äôs listed speed is. I‚Äôm the only one at the chargers at 11:34PM and I‚Äôm getting 69kW instead of the 150kW this charger is capable of.
 
 And the parking lot is lit up like a night game at Yankee Stadium. Good luck napping."
Output: Amenities and Location,Positive,"Target this close to a super charger is the dream, but you do have to walk to it as the super chargers are really around the corner. Would recommend it for restrooms","A Target this close to a super charger is the dream, but you do have to walk to it as the super chargers are really around the corner. Would recommend it for restrooms but late at night I could see the walk being a little off putting"
Output: reliability and maintenance,Positive,A tesla charging station that worked,A tesla charging station that worked
